transcript_id,company_ticker,filing_date,n_pairs,mean_evasion_score,mean_non_responsiveness,mean_vagueness,mean_deflection,mean_hedging,pct_high_evasion
000004392016000011,GEF,2016-09-07,18,23.61111111111111,1.6666666666666667,2.7222222222222223,1.3888888888888888,2.0,0.0
000004392016000020,GEF,2016-12-13,20,23.75,1.7,2.65,1.4,2.05,0.0
000004392017000018,GEF,2017-03-07,17,31.61764705882353,1.9411764705882353,3.1176470588235294,1.6470588235294117,2.3529411764705883,0.0
000004392017000042,GEF,2017-09-07,18,28.125,1.8333333333333333,2.9444444444444446,1.5,2.2222222222222223,0.0
000004392017000046,GEF,2017-12-12,15,31.666666666666668,1.9333333333333333,3.0,1.7333333333333334,2.4,6.666666666666667
000004392018000029,GEF,2018-12-11,14,20.535714285714285,1.3571428571428572,2.642857142857143,1.2857142857142858,2.0,0.0
000004392018000038,GEF,2018-12-26,17,34.19117647058823,2.0588235294117645,3.235294117647059,1.8823529411764706,2.2941176470588234,5.88235294117647
000004392019000022,GEF,2019-03-01,16,17.96875,1.3125,2.3125,1.3125,1.9375,0.0
000004392019000036,GEF,2019-06-11,21,22.61904761904762,1.6666666666666667,2.6666666666666665,1.5238095238095237,1.7619047619047619,0.0
000004392019000043,GEF,2019-07-02,10,27.5,1.9,2.8,1.5,2.2,0.0
000004392019000049,GEF,2019-09-03,19,21.710526315789473,1.631578947368421,2.526315789473684,1.368421052631579,1.9473684210526316,0.0
000004392019000059,GEF,2019-12-10,13,30.28846153846154,2.076923076923077,2.8461538461538463,1.6153846153846154,2.3076923076923075,0.0
000004392020000023,GEF,2020-03-02,13,21.153846153846153,1.5384615384615385,2.6153846153846154,1.3076923076923077,1.9230769230769231,0.0
000004392020000050,GEF,2020-06-08,18,28.819444444444443,1.6666666666666667,2.7777777777777777,1.5,2.6666666666666665,0.0
000004392020000064,GEF,2020-09-01,22,22.15909090909091,1.5,2.6818181818181817,1.3181818181818181,2.0454545454545454,0.0
000004392020000069,GEF,2020-12-14,19,17.105263157894736,1.4210526315789473,2.263157894736842,1.263157894736842,1.7894736842105263,0.0
000004392021000022,GEF,2021-02-26,12,19.270833333333332,1.3333333333333333,2.4166666666666665,1.25,2.0833333333333335,8.333333333333332
000004392021000041,GEF,2021-06-11,16,16.796875,1.3125,2.1875,1.3125,1.875,0.0
000004392021000061,GEF,2021-09-03,15,28.75,1.8666666666666667,2.933333333333333,1.6666666666666667,2.1333333333333333,0.0
000004392021000070,GEF,2021-12-10,12,15.104166666666666,1.25,2.3333333333333335,1.0833333333333333,1.75,0.0
000006721517000021,DY,2017-05-26,20,41.5625,2.4,3.6,2.05,2.6,5.0
000006721517000030,DY,2017-09-01,13,33.17307692307692,2.076923076923077,3.0,1.6153846153846154,2.6153846153846154,0.0
000006721517000043,DY,2017-11-21,21,33.63095238095238,2.0476190476190474,3.238095238095238,1.7619047619047619,2.3333333333333335,4.761904761904762
000007660518000029,PATK,2018-02-21,14,21.428571428571427,1.5,2.7857142857142856,1.2142857142857142,1.9285714285714286,0.0
000007660518000115,PATK,2018-07-31,15,35.416666666666664,2.1333333333333333,3.466666666666667,1.6,2.466666666666667,13.333333333333334
000007660518000143,PATK,2018-10-29,15,26.666666666666668,1.8,2.933333333333333,1.4,2.1333333333333333,6.666666666666667
000007660519000024,PATK,2019-02-19,12,23.958333333333332,1.5833333333333333,3.0833333333333335,1.1666666666666667,2.0,0.0
000007660519000065,PATK,2019-04-29,14,29.464285714285715,1.8571428571428572,3.0714285714285716,1.5,2.2857142857142856,0.0
000007660519000106,PATK,2019-07-29,14,21.875,1.5,2.7142857142857144,1.3571428571428572,1.9285714285714286,0.0
000007660519000127,PATK,2019-10-30,19,27.63157894736842,1.7894736842105263,3.0526315789473686,1.368421052631579,2.210526315789474,5.263157894736842
000007660520000041,PATK,2020-02-19,18,20.833333333333332,1.5,2.611111111111111,1.2222222222222223,2.0,0.0
000007660520000069,PATK,2020-05-05,15,23.75,1.5333333333333334,2.8,1.4,2.066666666666667,0.0
000072695817000098,CASY,2017-09-07,28,25.223214285714285,1.6071428571428572,2.75,1.4285714285714286,2.25,0.0
000072695820000069,CASY,2020-06-10,27,21.99074074074074,1.4814814814814814,2.6296296296296298,1.2222222222222223,2.185185185185185,0.0
